Brand_id,brand_name
1738,Ole Smoky Moonshine Cherries
1740,Glenkinchie 12 YO Scotch
1744,Old Forester 100 Bourbon
1746,Tomatin 12 Yr Old Scotch
1748,William Grant Scotch
1758,Aberlour Glenlivet 12 Yr
1760,William Grant Scotch
1767,Buffalo Trace Bourbon
1770,Jack Daniels Tennessee Fire
1771,Jack Daniels Tennessee Fire
1781,Wild Turkey Russell's Rsv
1789,Jack Daniels Tennesse Fire
1790,Morrigan Irish Whiskey
1817,Irishman Founders RSV Whisky
1835,Knappogue Castle Irish Whsky
1836,Tyrconnell Irish Whiskey
1845,Cluny Scotch Whiskey
1848,Oban Little Bay Single Malt
1860,Bruichladdich Islay Barley
1862,John Power Irish Whiskey
1867,Jack Daniels Tennessee Honey
1868,Lagavulin Single Malt 16-Yr
1869,Oban 14-Yr Single Malt
1870,Oban Distiller's Edition
1874,Bruichladdich Octomore 61
1875,Bushmills Black Bush
1876,Midleton Rare Irish Whiskey
1880,The Glenlivet Nadurra 16 Yr
1883,Seagrams 7 Crown
1886,Seagrams 7 Crown
1892,Yukon Jack
1893,Port Charlotte Scotch Barley
1896,The Glenlivet 18 Yr Single
1920,Bowman Brothers Small Batch
1921,Glenfiddich Special Rsv 12
1955,Jack Daniels Tennessee Honey
1956,Balvenie 12 Yr Doublewood S
1961,Everclear 151
1964,Jim Beam Single Barrel
1974,Breaking & Entering Bourbon
1987,White Mountain Moonshine
1997,Charles Goodnight Bourbon
